"HEC_MES","HEC_DEPTO","VIC_EDAD","VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_GRUPET","VIC_TRABAJA","VIC_DEDICA","AGR_EDAD","AGR_ESCOLARIDAD","cluster"
11,1,55,10,2,2,2,1,11,10,1
3,2,58,29,2,1,1,-1,12,99,2
99,1,33,29,1,1,2,1,12,99,2
3,2,58,39,2,1,2,1,12,99,2
7,7,57,10,3,2,2,1,12,25,1
4,11,33,23,1,1,1,-1,12,26,1
9,11,32,10,9,1,2,1,12,23,1
6,16,30,59,2,2,1,-1,12,99,2
10,22,65,10,4,1,2,1,13,39,3
9,11,6,-1,-1,1,-1,-1,13,32,1
2,11,7,10,-1,1,2,9,13,26,1
2,11,7,21,-1,1,2,3,13,31,1
4,1,52,39,2,1,1,-1,13,99,2
3,19,68,99,2,1,1,-1,13,99,2
1,14,49,21,2,2,2,1,14,21,1
9,1,55,39,1,1,1,-1,14,39,1
12,16,37,56,1,2,1,-1,14,32,1
11,11,6,-1,-1,1,-1,-1,14,32,1
11,10,16,32,1,6,2,3,14,26,1
6,11,36,26,2,1,2,1,14,23,1
2,16,62,10,3,2,2,6,14,33,1
8,16,36,46,3,1,2,1,14,31,1
11,1,52,49,1,1,1,-1,14,99,2
8,16,44,10,3,2,2,1,14,10,1
8,4,59,49,2,1,1,-1,14,99,2
6,3,9,99,-1,6,2,3,14,99,2
7,8,35,49,2,2,1,-1,14,99,2
7,1,36,99,1,9,1,-1,15,99,2
8,3,37,10,1,2,1,-1,15,10,1
11,15,42,26,2,1,1,-1,15,26,1
10,14,24,10,1,1,2,9,15,99,1
2,22,30,26,1,2,2,1,15,26,1
10,6,35,26,1,1,2,1,15,26,1
11,20,40,29,1,6,2,1,15,29,1
6,9,32,33,1,1,2,1,15,23,1
12,1,29,49,9,1,2,1,15,49,1
6,11,21,33,1,1,1,-1,15,33,1
10,11,3,-1,-1,1,-1,-1,15,33,1
4,11,5,-1,-1,1,-1,-1,15,32,1
5,16,23,26,1,2,2,1,15,26,1
4,11,13,26,1,1,2,3,15,33,1
2,14,39,21,2,2,2,1,15,21,1
9,10,43,26,2,1,2,1,15,32,1
2,16,30,21,3,2,2,1,15,21,1
1,16,35,23,3,1,2,1,15,25,1
8,1,66,10,2,2,1,-1,15,32,3
5,16,15,26,3,1,2,1,15,25,1
1,16,16,10,3,2,1,-1,15,26,1
4,3,28,10,9,2,1,-1,15,10,1
9,12,36,22,1,1,2,1,15,21,1
10,2,42,29,9,1,2,1,15,29,1
10,2,19,39,9,1,1,-1,15,29,1
8,13,19,29,9,2,1,-1,15,29,1
11,2,45,39,2,1,2,1,15,39,1
5,12,31,29,9,1,2,1,15,39,1
10,15,18,23,9,2,1,-1,15,26,1
2,11,39,22,9,1,2,1,16,10,1
7,1,33,99,1,1,1,-1,16,99,2
3,1,57,10,1,1,2,1,16,39,1
5,2,41,10,1,1,2,1,16,39,1
1,1,18,39,1,1,2,1,16,29,1
11,13,46,10,2,2,2,1,16,29,1
7,19,38,10,2,1,2,1,16,45,1
3,13,83,10,2,2,2,1,16,10,3
8,6,28,26,2,1,2,1,16,26,1
8,9,19,26,3,2,2,1,16,32,1
3,19,34,24,9,1,2,1,16,26,1
5,22,13,39,9,6,2,3,16,33,1
8,9,45,56,1,1,1,-1,16,33,1
1,18,42,46,5,1,1,-1,16,33,1
9,15,34,45,2,2,2,1,16,32,1
8,4,15,23,1,6,2,3,16,23,1
9,21,14,32,1,1,2,3,16,26,1
7,3,15,32,1,1,2,3,16,33,1
5,11,15,33,1,1,2,3,16,33,1
11,16,54,46,2,2,2,2,16,44,1
6,16,26,10,3,2,2,1,16,25,1
9,16,52,10,9,2,2,1,16,26,1
11,14,53,21,9,2,2,1,16,21,1
2,14,37,46,1,1,1,-1,16,31,1
11,2,49,26,9,1,1,-1,16,49,1
8,1,48,10,3,2,1,-1,16,31,1
8,15,33,10,1,1,1,-1,16,10,1
5,11,53,10,9,1,1,-1,16,32,1
9,1,21,26,1,1,1,-1,16,99,2
7,9,16,26,3,1,2,1,16,26,1
1,16,15,26,3,2,2,1,16,10,1
8,16,16,26,3,2,2,1,16,26,1
2,8,17,29,3,2,2,1,16,29,1
7,4,16,33,3,6,2,1,16,26,1
8,3,16,22,3,2,1,-1,16,10,1
8,16,16,26,3,2,2,1,16,23,1
5,16,26,99,3,2,1,-1,16,33,1
7,16,27,99,3,2,1,-1,16,22,1
2,16,54,10,3,2,1,-1,16,25,1
8,16,24,99,3,2,1,-1,16,23,1
5,16,20,26,5,2,2,1,16,24,1
12,17,17,32,5,1,2,1,16,24,1
3,17,17,23,5,2,2,1,16,23,1
8,18,38,26,5,1,2,1,16,26,1
2,3,39,26,2,2,2,1,16,26,1
2,3,39,26,2,2,2,1,16,26,1
2,3,39,26,2,2,2,1,16,26,1
2,3,39,26,2,2,2,1,16,26,1
2,3,23,26,9,2,2,1,16,26,1
2,3,23,26,9,2,2,1,16,26,1
2,3,23,26,9,2,2,1,16,26,1
7,22,35,10,1,1,2,1,16,29,1
1,12,33,45,2,6,2,1,16,45,1
8,4,15,21,9,2,2,1,16,25,1
7,12,14,26,9,6,2,1,16,44,1
10,9,16,26,9,2,2,1,16,26,1
9,22,18,32,9,6,2,3,16,26,1
3,3,18,99,9,2,2,1,16,99,2
9,9,41,44,2,2,1,-1,16,39,1
8,1,21,33,9,1,1,-1,16,26,1
8,19,47,49,9,1,1,-1,16,39,1
8,12,18,44,9,1,1,-1,16,31,1
11,8,22,29,2,2,1,-1,16,39,1
9,1,19,39,9,2,1,-1,16,29,1
7,21,18,33,9,1,2,1,16,26,1
3,99,53,25,3,1,1,-1,17,32,1
12,11,52,10,9,1,2,2,17,33,1
1,1,11,29,-1,1,2,3,17,29,1
2,3,23,22,1,6,2,1,17,99,2
6,3,31,24,1,2,2,9,17,10,1
10,22,24,26,1,6,2,1,17,32,1
5,22,35,26,1,6,2,1,17,32,1
10,3,14,29,1,1,2,3,17,29,1
10,4,16,31,1,2,2,1,17,10,1
3,3,22,44,1,6,2,3,17,33,1
6,10,22,49,1,6,2,1,17,39,1
3,2,17,49,1,1,2,3,17,49,1
1,22,74,10,2,1,2,2,17,26,3
8,9,35,22,2,2,2,1,17,33,1
1,22,44,26,2,1,2,1,17,33,1
8,8,37,29,2,2,2,1,17,49,1
12,2,66,29,2,1,2,1,17,29,1
5,9,44,99,2,2,2,1,17,99,2
12,22,33,10,3,1,2,6,17,29,1
11,3,35,59,3,1,2,1,17,49,1
12,1,48,49,2,1,1,-1,17,49,1
99,1,28,56,2,1,1,-1,17,46,1
8,15,43,23,2,6,1,-1,17,23,1
12,10,56,29,2,1,1,-1,17,29,1
1,10,49,49,2,2,1,-1,17,39,1
10,9,49,10,5,2,1,-1,17,22,1
9,1,57,29,2,1,1,-1,17,39,1
11,16,79,21,2,1,1,-1,17,26,3
6,13,40,23,2,1,2,1,17,23,1
6,16,34,10,3,2,2,1,17,26,1
6,16,18,24,3,2,2,1,17,24,1
5,11,13,26,1,1,2,3,17,33,1
5,6,24,26,1,1,2,1,17,33,1
10,1,63,26,1,1,2,1,17,33,1
3,9,13,31,1,1,2,3,17,26,1
5,16,71,10,2,2,2,1,17,26,3
12,16,61,10,2,2,2,9,17,26,3
1,18,70,33,2,1,2,2,17,33,1
6,16,36,10,3,2,2,1,17,31,1
8,16,61,10,3,2,2,1,17,49,1
5,16,36,26,3,2,2,1,17,33,1
6,14,36,46,2,1,1,-1,17,33,1
9,16,40,23,3,2,1,-1,17,26,1
2,16,55,26,9,2,1,-1,17,32,1
99,16,79,33,3,2,1,-1,17,10,3
4,3,61,23,9,1,1,-1,17,25,1
8,16,77,21,4,2,1,-1,17,26,3
4,18,30,45,5,1,1,-1,17,26,1
3,11,26,31,9,1,1,-1,17,32,1
2,16,37,46,3,2,1,-1,17,44,1
8,16,26,46,3,2,1,-1,17,45,1
5,12,36,10,2,1,2,1,17,10,1
12,4,17,23,3,2,2,1,17,26,1
8,4,16,26,3,2,2,1,17,26,1
5,22,27,44,3,1,1,-1,17,26,1
8,9,36,46,2,2,2,1,17,46,1
9,16,40,10,3,2,2,1,17,10,1
5,16,49,10,3,2,2,1,17,26,1
5,16,19,10,3,2,2,1,17,24,1
8,16,15,10,3,2,2,1,17,10,1
5,16,16,10,3,2,2,1,17,26,1
8,16,13,10,3,2,2,1,17,33,1
12,17,14,22,3,2,2,1,17,22,1
7,17,13,22,3,2,2,3,17,31,1
7,14,15,23,3,1,2,1,17,26,1
7,16,23,26,3,2,2,1,17,21,1
2,9,16,26,3,1,2,1,17,26,1
4,16,16,26,3,2,2,1,17,33,1
12,16,17,26,3,2,2,1,17,26,1
11,16,31,26,3,2,2,1,17,26,1
5,17,17,31,3,2,2,1,17,26,1
6,4,23,33,3,2,2,1,17,26,1
5,16,19,26,3,1,1,-1,17,10,1
11,16,18,26,3,2,1,-1,17,26,1
4,15,18,29,3,2,1,-1,17,29,1
11,16,27,33,1,2,9,9,17,23,1
5,16,18,33,5,2,2,1,17,33,1
9,3,17,23,9,1,1,-1,17,23,1
9,1,24,99,9,9,2,1,17,99,2
12,16,99,49,1,6,2,3,17,99,2
1,2,48,49,2,1,2,1,17,39,1
1,10,15,10,9,6,2,1,17,10,1
6,9,13,10,9,2,2,1,17,99,1
3,12,59,10,9,1,2,1,17,32,1
10,22,20,23,9,1,2,1,17,23,1
10,1,22,29,9,1,2,1,17,29,1
7,8,15,29,9,2,2,1,17,29,1
5,14,15,31,9,2,2,9,17,10,1
8,12,17,39,9,1,2,3,17,29,1
5,3,18,45,9,1,2,1,17,45,1
2,3,18,49,9,1,2,1,17,49,1
5,2,46,29,9,1,1,-1,17,99,2
6,1,23,39,9,1,1,-1,17,29,1
5,2,46,29,9,1,1,-1,17,29,1
9,19,35,39,9,1,1,-1,17,10,1
8,1,27,49,9,2,2,1,17,10,1
11,1,42,29,2,6,2,1,17,99,2
11,11,18,26,9,1,2,1,17,26,1
11,11,18,26,9,1,2,1,17,26,1
10,12,17,26,9,6,2,1,17,26,1
10,13,20,29,9,5,2,1,17,29,1
8,15,18,29,9,2,2,1,17,29,1
10,11,14,32,9,1,2,3,17,33,1
12,2,32,39,2,1,1,-1,17,10,1
8,12,23,29,9,1,1,-1,17,29,1
12,22,22,39,1,1,2,1,18,99,2
3,1,25,99,1,1,2,1,18,99,2
9,12,38,10,9,1,2,1,18,26,1
12,1,43,99,1,1,1,-1,18,99,2
7,14,63,10,2,2,1,-1,18,33,3
2,2,64,99,1,1,1,-1,18,45,1
2,2,71,10,1,1,1,-1,18,99,2
5,16,37,46,5,2,1,-1,18,45,1
5,3,9,23,-1,1,2,3,18,45,1
12,13,49,10,1,2,2,1,18,99,2
9,5,73,10,1,1,2,1,18,33,3
10,4,15,22,1,6,2,1,18,10,1
7,5,19,25,1,1,2,1,18,26,1
10,22,38,26,1,9,2,1,18,10,1
2,1,37,26,1,1,2,1,18,33,1
1,16,14,26,1,2,2,3,18,26,1
4,5,36,29,1,1,2,1,18,39,1
8,5,42,29,1,6,2,4,18,10,1
4,2,57,29,1,1,2,1,18,29,1
1,22,33,33,1,1,2,1,18,33,1
7,9,25,39,1,1,2,3,18,49,1
99,1,21,59,1,1,2,3,18,49,1
1,22,67,10,2,1,2,1,18,33,3
11,14,69,10,2,2,2,2,18,10,3
9,15,30,23,2,2,2,1,18,10,1
11,12,53,25,2,6,2,1,18,33,1
4,22,47,26,2,1,2,1,18,33,1
8,5,54,26,2,1,2,1,18,33,1
7,5,42,26,2,6,2,1,18,26,1
2,4,23,44,2,2,2,1,18,33,1
5,5,46,10,3,1,2,4,18,10,1
3,22,17,26,3,1,2,1,18,26,1
3,19,32,29,3,1,2,1,18,29,1
7,20,80,10,4,6,2,2,18,29,3
12,10,62,10,9,1,2,1,18,29,3
3,8,43,10,9,2,2,1,18,39,1
7,4,44,53,9,2,1,-1,18,10,1
12,22,35,39,1,1,1,-1,18,49,1
2,2,24,39,1,6,1,-1,18,99,2
3,2,24,39,1,1,1,-1,18,29,1
12,1,42,49,2,1,1,-1,18,49,1
12,16,65,10,2,2,1,-1,18,26,3
7,1,38,29,2,1,1,-1,18,29,1
12,5,48,46,2,1,1,-1,18,33,1
4,1,63,49,1,1,1,-1,18,49,1
11,1,39,39,1,1,1,-1,18,49,1
5,5,53,26,3,1,1,-1,18,23,1
1,15,49,10,1,6,1,-1,18,32,1
5,16,40,29,2,2,1,-1,18,10,1
9,4,39,26,9,6,1,-1,18,26,1
1,1,40,99,2,1,1,-1,18,99,2
99,1,40,99,1,1,1,-1,18,99,2
3,5,63,25,1,1,2,1,18,26,1
10,3,42,26,2,6,2,1,18,33,1
6,2,34,26,2,1,2,1,18,23,1
12,10,37,45,2,1,2,1,18,45,1
6,17,39,10,5,2,2,1,18,26,1
3,1,27,33,1,2,2,1,18,44,1
10,1,47,99,1,1,2,1,18,45,1
7,16,60,10,2,2,2,1,18,26,3
6,16,44,10,2,2,2,1,18,23,1
10,15,53,24,2,1,2,1,18,45,1
3,18,61,31,2,1,2,1,18,33,1
6,16,29,26,3,2,2,1,18,25,1
2,19,46,10,9,1,2,1,18,26,1
5,3,53,29,9,1,2,1,18,29,1
12,22,53,23,1,1,1,-1,18,23,1
3,13,23,26,1,1,1,-1,18,22,1
4,15,38,10,1,2,2,1,18,29,1
6,7,47,10,1,2,2,1,18,10,1
3,13,41,23,1,2,2,1,18,24,1
4,6,42,26,1,6,2,1,18,33,1
4,13,40,29,1,2,2,1,18,29,1
9,11,14,32,1,1,2,3,18,45,1
9,4,16,33,1,6,2,3,18,26,1
1,18,37,46,1,1,2,3,18,46,1
1,17,68,10,2,1,2,4,18,26,3
5,16,71,10,2,2,2,6,18,10,3
3,16,30,10,2,9,2,1,18,24,1
3,16,48,10,2,2,2,1,18,33,1
10,6,48,10,2,1,2,1,18,26,1
5,4,46,23,2,2,2,1,18,26,1
4,2,58,23,2,1,2,1,18,33,1
1,10,39,26,2,1,2,1,18,31,1
2,4,53,26,2,2,2,1,18,26,1
5,16,31,22,3,2,2,1,18,10,1
5,16,38,26,3,2,2,1,18,26,1
12,8,37,26,3,2,2,1,18,33,1
7,2,53,99,9,1,2,1,18,29,1
8,18,42,46,2,1,1,-1,18,46,1
3,18,52,26,5,1,1,-1,18,45,1
7,15,38,21,1,1,1,-1,18,31,1
7,4,42,39,2,2,1,-1,18,29,1
6,16,26,46,3,2,1,-1,18,31,1
6,18,62,32,5,1,1,-1,18,26,1
7,12,54,26,2,1,1,-1,18,31,1
3,6,36,26,3,1,1,-1,18,33,1
12,12,19,10,1,6,1,-1,18,99,2
7,12,34,10,2,1,1,-1,18,31,1
6,4,43,10,9,6,1,-1,18,23,1
3,16,50,10,2,2,1,-1,18,26,1
3,3,44,45,9,1,1,-1,18,33,1
8,17,40,33,5,1,1,-1,18,33,1
2,21,37,32,1,1,1,-1,18,23,1
10,22,52,10,1,6,2,9,18,99,2
8,2,68,10,1,1,2,1,18,29,3
7,2,71,10,2,1,1,-1,18,10,3
9,10,19,39,2,1,2,1,18,39,1
2,16,48,22,2,2,1,-1,18,22,1
1,2,49,29,2,1,1,-1,18,29,1
1,9,25,10,2,1,1,-1,18,39,1
11,16,37,22,2,2,2,1,18,24,1
8,8,20,26,2,2,2,1,18,26,1
8,11,37,53,2,6,1,-1,18,44,1
8,4,83,10,2,2,1,-1,18,26,3
10,10,34,29,3,1,2,1,18,10,1
1,4,18,10,3,2,2,1,18,10,1
7,12,18,33,9,1,2,1,18,29,1
3,3,18,26,3,2,2,1,18,26,1
7,16,31,10,3,2,1,-1,18,26,1
2,16,50,10,2,2,2,1,18,10,3
9,21,16,33,3,6,2,1,18,33,1
7,22,51,29,1,1,2,1,18,39,1
6,16,38,26,2,6,2,1,18,26,1
12,22,21,26,3,1,2,1,18,49,1
8,16,29,26,3,2,2,1,18,44,1
10,15,18,26,3,2,2,1,18,33,1
4,9,30,29,3,2,2,1,18,29,1
7,1,18,29,3,1,2,1,18,29,1
12,10,17,39,3,1,2,1,18,39,1
7,10,35,99,9,1,2,1,18,39,1
12,99,42,49,2,1,1,-1,18,49,1
3,1,24,99,3,1,1,-1,18,99,2
12,4,19,31,3,2,1,-1,18,31,1
4,1,20,49,3,1,1,-1,18,29,1
3,22,23,10,3,1,9,9,18,33,1
9,16,37,10,3,2,2,1,18,26,1
1,16,39,10,2,2,2,1,18,26,1
1,15,23,49,3,2,2,1,18,29,1
5,20,33,49,3,1,1,-1,18,39,1
8,5,33,25,3,1,2,1,18,10,1
6,10,42,26,3,2,2,1,18,26,1
1,14,18,26,3,1,2,1,18,33,1
6,11,18,26,3,1,2,1,18,26,1
7,2,17,26,3,1,2,1,18,26,1
8,4,22,39,3,2,2,1,18,10,1
12,15,20,46,3,1,2,1,18,45,1
5,10,19,26,9,6,2,1,18,10,1
5,17,17,45,3,1,1,-1,18,45,1
5,14,59,24,2,5,1,-1,18,26,1
4,16,23,21,3,2,1,-1,18,10,1
10,9,35,39,1,1,2,1,18,29,1
11,16,32,10,2,2,2,1,18,26,1
8,15,51,22,2,1,2,1,18,26,1
2,21,37,10,3,1,2,1,18,26,1
4,16,21,10,3,2,2,1,18,10,1
4,16,21,22,3,2,2,4,18,23,1
8,12,20,22,3,1,2,1,18,22,1
11,16,15,23,3,2,2,1,18,24,1
10,4,18,23,3,6,2,3,18,23,1
4,17,18,24,3,1,2,1,18,26,1
4,8,17,29,3,1,2,1,18,29,1
4,16,15,31,3,2,2,1,18,26,1
10,4,42,32,3,2,2,1,18,26,1
8,16,17,99,3,2,2,9,18,99,2
4,16,19,33,3,2,1,-1,18,22,1
11,16,22,26,3,2,1,-1,18,26,1
5,16,20,26,3,2,1,-1,18,26,1
1,16,19,33,3,2,1,-1,18,33,1
8,15,24,33,3,2,1,-1,18,26,1
1,4,18,26,3,2,1,-1,18,46,1
2,16,42,26,3,2,1,-1,18,10,1
7,2,18,29,9,1,2,1,18,10,1
7,1,21,99,5,1,1,-1,18,99,2
9,1,55,99,5,1,9,9,18,99,2
11,18,30,26,1,1,2,1,18,24,1
4,16,16,25,5,1,2,1,18,33,1
7,17,14,25,5,2,2,3,18,26,1
10,18,26,49,5,1,1,-1,18,39,1
2,1,54,29,1,1,2,1,18,99,2
3,8,41,99,2,6,2,1,18,99,2
5,1,22,29,9,1,2,9,18,29,1
3,1,20,29,9,1,2,1,18,29,1
5,1,54,55,2,1,1,-1,18,49,1
8,1,21,99,9,1,1,-1,18,99,2
10,2,27,49,9,1,1,-1,18,10,1
8,99,37,99,1,9,1,-1,18,99,2
5,1,18,31,9,1,2,3,18,33,1
10,5,16,26,9,6,2,1,18,33,1
4,3,17,25,9,6,2,1,18,31,1
11,4,23,44,9,2,2,1,18,26,1
10,1,21,33,9,1,1,-1,18,26,1
1,2,64,99,1,1,9,9,18,99,2
5,13,33,24,9,9,2,1,18,10,1
11,15,19,44,9,1,2,1,18,26,1
12,16,55,10,2,1,2,1,18,10,3
9,10,60,26,2,6,2,1,18,46,1
9,1,64,10,3,1,2,1,18,39,3
3,19,44,29,3,1,2,1,18,29,1
6,10,20,10,9,6,2,1,18,10,1
8,2,24,10,9,1,2,1,18,10,1
3,14,18,21,9,2,2,1,18,21,1
4,13,18,23,9,2,2,1,18,26,1
4,19,18,26,9,1,2,1,18,31,1
7,12,17,26,9,6,2,1,18,23,1
9,15,16,26,9,2,2,1,18,26,1
4,13,16,29,9,2,2,1,18,10,1
8,12,16,31,9,1,2,1,18,44,1
5,12,21,33,9,1,2,1,18,33,1
9,5,19,33,9,1,2,1,18,33,1
1,1,21,33,9,1,2,1,18,33,1
5,14,18,33,9,1,2,3,18,33,1
7,1,17,33,9,1,2,1,18,23,1
7,10,46,46,9,6,2,1,18,46,1
4,9,21,49,9,1,2,1,18,29,1
2,3,54,59,9,1,2,9,18,39,1
7,1,20,59,9,1,2,3,18,33,1
7,12,80,99,9,6,2,1,18,10,1
2,14,18,99,9,1,2,1,18,26,1
12,1,23,49,9,9,1,-1,18,49,1
3,13,21,26,9,1,1,-1,18,33,1
8,10,20,49,9,1,1,-1,18,39,1
2,2,28,49,9,1,1,-1,18,29,1
3,19,20,26,9,1,1,-1,18,26,1
2,2,25,29,9,1,1,-1,18,39,1
4,19,25,29,9,1,1,-1,18,99,2
7,12,19,59,9,1,1,-1,18,33,1
11,3,19,33,9,2,1,-1,18,10,1
12,1,40,29,1,1,1,-1,18,29,1
10,1,17,32,9,1,1,-1,18,33,1
4,22,77,10,2,6,1,-1,18,99,2
10,10,46,10,9,6,1,-1,18,10,1
2,10,21,39,9,2,1,-1,18,29,1
7,19,63,99,9,1,1,-1,18,29,1
10,2,27,29,9,1,1,-1,18,29,1
3,1,20,49,9,1,1,-1,18,49,1
2,19,18,10,9,1,1,-1,18,29,1
2,19,25,29,9,1,1,-1,18,99,2
4,19,18,39,9,1,1,-1,18,99,2
9,19,23,99,9,1,9,9,18,99,2
2,12,40,31,9,6,1,-1,18,25,1
10,5,18,33,9,1,2,1,18,33,1
1,7,18,46,9,1,2,3,18,46,1
3,19,19,49,9,1,2,1,18,39,1
7,10,20,33,9,1,1,-1,18,21,1
8,11,28,26,9,1,2,1,18,26,1
3,21,18,26,9,1,2,1,18,26,1
11,3,18,26,9,6,2,1,18,99,2
8,12,34,29,9,1,2,1,18,29,1
9,8,17,29,9,2,2,9,18,39,1
6,3,18,29,9,6,2,1,18,29,1
12,12,20,29,9,1,2,1,18,49,1
1,11,17,32,9,1,2,1,18,33,1
5,11,18,33,9,1,2,3,18,45,1
4,21,17,45,9,1,2,1,18,23,1
6,3,18,29,9,6,1,-1,18,29,1
8,4,31,23,9,2,1,-1,18,46,1
11,21,21,31,9,1,1,-1,18,10,1
11,2,69,33,9,1,1,-1,18,33,1
7,7,18,26,9,2,1,-1,18,10,1
10,16,38,33,2,2,2,1,19,31,1
3,2,56,10,9,1,1,-1,19,39,1
5,2,19,49,1,1,1,-1,19,59,1
8,1,61,29,2,1,9,9,19,29,1
7,2,55,99,2,1,9,9,19,99,2
3,6,41,10,2,1,2,1,19,26,1
4,22,40,33,2,1,2,1,19,46,1
7,1,38,10,2,1,2,1,19,10,1
3,11,39,26,9,1,1,-1,19,33,1
3,3,43,26,2,2,1,-1,19,26,1
7,15,47,23,2,1,2,1,19,22,1
10,21,38,26,9,6,2,1,19,26,1
10,19,11,29,-1,1,2,3,19,29,1
10,22,15,10,1,1,2,1,19,10,1
10,22,52,10,1,1,2,1,19,29,1
1,22,53,10,1,6,2,1,19,33,1
1,20,81,10,1,1,2,1,19,39,3
3,14,48,10,1,6,2,1,19,32,1
9,12,35,10,1,6,2,1,19,10,1
2,7,21,10,1,2,2,1,19,10,1
8,22,57,10,1,1,2,1,19,33,3
3,9,30,10,1,1,2,1,19,39,1
12,5,42,23,1,1,2,1,19,33,1
1,22,58,26,1,1,2,1,19,46,1
1,22,40,26,1,1,2,1,19,26,1
12,16,39,26,1,2,2,1,19,99,2
1,2,24,29,1,1,2,1,19,29,1
6,22,31,29,1,1,2,1,19,29,1
2,22,99,33,1,1,2,9,19,33,3
5,22,19,33,1,1,2,1,19,33,1
1,22,40,46,1,1,2,1,19,33,1
6,5,18,49,1,1,2,1,19,49,1
5,2,16,49,1,1,2,9,19,39,1
12,1,74,99,1,1,2,1,19,26,1
4,16,33,10,2,2,2,1,19,10,1
7,14,50,10,2,6,2,1,19,33,1
4,16,28,26,2,2,2,1,19,10,1
12,9,99,26,2,1,2,1,19,26,3
7,1,38,26,2,1,2,1,19,33,1
7,5,41,29,2,1,2,1,19,39,1
5,3,60,29,2,1,2,1,19,49,1
6,1,78,29,2,1,2,2,19,29,3
7,2,43,29,2,1,2,1,19,29,1
1,8,47,10,3,2,2,1,19,39,1
11,22,39,10,3,1,2,1,19,26,1
11,22,56,10,3,1,2,1,19,26,3
6,4,66,10,4,2,2,1,19,29,3
7,4,53,10,9,6,2,1,19,22,1
8,12,40,10,9,6,2,2,19,10,1
1,4,41,24,9,6,2,1,19,24,1
7,2,43,29,9,1,2,1,19,29,1
10,3,34,99,9,6,2,1,19,99,2
8,2,43,99,9,1,2,1,19,99,2
7,10,40,49,2,2,1,-1,19,49,1
1,22,17,33,1,6,1,-1,19,33,1
12,19,20,49,1,1,1,-1,19,49,1
4,22,44,33,2,1,1,-1,19,26,1
1,22,25,33,1,1,1,-1,19,33,1
8,22,23,39,1,6,1,-1,19,29,1
6,4,64,25,2,6,1,-1,19,26,3
3,2,56,29,9,1,1,-1,19,39,1
3,19,42,10,9,1,1,-1,19,10,1
10,1,44,99,2,1,1,-1,19,49,1
4,4,37,23,2,6,1,-1,19,46,1
99,1,83,10,1,1,1,-1,19,10,3
2,1,53,10,2,1,1,-1,19,23,1
5,1,58,99,1,1,1,-1,19,24,1
12,22,20,10,1,1,1,-1,19,10,1
1,22,46,33,1,1,1,-1,19,33,1
7,10,99,29,2,1,9,9,19,29,3
2,13,50,10,2,2,2,1,19,22,1
4,16,34,10,3,2,2,1,19,10,1
8,4,41,29,2,2,1,-1,19,29,1
2,7,44,22,1,2,2,9,19,21,1
11,8,22,26,1,2,2,1,19,24,1
11,8,25,26,1,2,2,1,19,24,1
12,9,40,39,1,1,2,1,19,49,1
2,18,43,46,1,1,2,1,19,46,1
1,19,39,10,4,1,2,1,19,29,1
11,8,53,10,9,2,2,1,19,24,1
8,15,36,46,1,1,1,-1,19,46,1
6,4,79,26,2,2,1,-1,19,26,3
9,7,51,26,2,2,1,-1,19,10,1
5,22,26,26,1,1,2,1,19,26,1
5,1,36,29,1,1,2,1,19,29,1
6,4,72,10,2,2,2,1,19,29,3
4,14,59,33,2,2,2,1,19,33,1
9,1,73,10,3,1,2,2,19,39,3
8,16,46,10,3,2,2,1,19,10,1
10,7,40,25,2,2,1,-1,19,25,1
9,11,11,25,-1,1,2,3,19,45,1
7,11,13,26,1,1,2,3,19,33,1
12,15,26,31,1,1,2,1,19,25,1
6,11,14,31,1,1,2,3,19,46,1
1,18,36,33,1,1,2,1,19,26,1
8,11,30,33,1,1,2,1,19,26,1
9,16,22,33,1,2,2,3,19,45,1
12,2,21,59,1,1,2,3,19,33,1
8,16,43,10,2,2,2,1,19,26,1
7,16,83,10,2,2,2,1,19,26,3
4,16,28,10,2,2,2,1,19,10,1
3,3,62,26,2,1,2,2,19,32,1
8,11,49,26,2,2,2,1,19,45,1
3,4,39,26,4,6,2,1,19,31,1
7,1,74,99,4,1,2,1,19,99,2
5,16,24,22,5,2,2,1,19,26,1
10,11,42,10,9,1,2,1,19,32,1
7,14,52,10,9,9,2,1,19,10,3
5,11,57,10,9,2,2,1,19,33,1
11,11,38,23,9,1,2,1,19,45,1
7,11,41,26,9,1,2,1,19,26,1
9,14,36,99,9,2,2,1,19,10,1
7,13,19,46,1,1,1,-1,19,33,1
1,20,40,32,1,1,1,-1,19,26,1
8,7,45,26,2,2,1,-1,19,46,1
12,11,38,33,9,1,1,-1,19,21,1
4,20,25,29,1,1,1,-1,19,29,1
4,18,22,46,1,1,1,-1,19,46,1
5,1,37,26,1,1,1,-1,19,33,1
4,13,71,10,2,2,1,-1,19,10,3
5,16,60,10,2,2,1,-1,19,26,3
4,1,28,33,1,1,1,-1,19,25,1
5,3,42,10,2,1,1,-1,19,99,2
11,8,19,39,2,2,9,9,19,10,1
7,15,20,33,2,1,2,1,19,26,1
6,1,30,33,2,6,2,1,19,46,1
5,12,42,29,1,9,2,1,19,29,1
3,4,18,24,2,6,2,1,19,23,1
5,16,20,26,2,2,2,1,19,33,1
8,14,19,26,2,2,2,1,19,26,1
7,8,21,29,2,2,2,1,19,29,1
10,4,20,33,2,2,2,1,19,22,1
6,4,19,33,2,1,2,1,19,46,1
11,4,22,10,3,2,2,1,19,31,1
5,9,24,29,3,2,2,1,19,29,1
