"rules","support","confidence","lift","count"
"{QUIEN_REPORTA=1,HEC_RECUR_DENUN=2,INST_DONDE_DENUNCIO=NA} => {HEC_TIPAGRE=2122}",0.401813761643312,0.508838078107164,0.978364138730313,14709
"{HEC_TIPAGRE=2122,INST_DONDE_DENUNCIO=NA} => {HEC_RECUR_DENUN=2}",0.415143817094157,1,1.21543824701195,15198
"{HEC_TIPAGRE=2122,HEC_RECUR_DENUN=2} => {INST_DONDE_DENUNCIO=NA}",0.415143817094157,1,1.21543824701195,15198
"{HEC_RECUR_DENUN=2,INST_DONDE_DENUNCIO=NA} => {HEC_TIPAGRE=2122}",0.415143817094157,0.504581673306773,0.970180172168469,15198
"{HEC_TIPAGRE=2122} => {INST_DONDE_DENUNCIO=NA}",0.415143817094157,0.798214285714286,0.970180172168469,15198
"{INST_DONDE_DENUNCIO=NA} => {HEC_TIPAGRE=2122}",0.415143817094157,0.504581673306773,0.970180172168469,15198
"{HEC_TIPAGRE=2122,HEC_AREA=1} => {QUIEN_REPORTA=1}",0.28383730776585,0.963467779323134,1.01041571941219,10391
"{HEC_TIPAGRE=2122,QUIEN_REPORTA=1} => {HEC_AREA=1}",0.28383730776585,0.569026887903182,1.06495094009752,10391
"{QUIEN_REPORTA=1,HEC_AREA=1} => {HEC_TIPAGRE=2122}",0.28383730776585,0.552918639919119,1.06311966852936,10391
"{HEC_TIPAGRE=2122,HEC_AREA=1,HEC_RECUR_DENUN=2} => {QUIEN_REPORTA=1}",0.216968505012429,0.969486146710607,1.0167273503188,7943
"{HEC_TIPAGRE=2122,QUIEN_REPORTA=1,HEC_AREA=1} => {HEC_RECUR_DENUN=2}",0.216968505012429,0.764411509960543,0.929094985662202,7943
"{HEC_TIPAGRE=2122,QUIEN_REPORTA=1,HEC_RECUR_DENUN=2} => {HEC_AREA=1}",0.216968505012429,0.539972807613868,1.0105753547332,7943
"{QUIEN_REPORTA=1,HEC_AREA=1,HEC_RECUR_DENUN=2} => {HEC_TIPAGRE=2122}",0.216968505012429,0.53262254408905,1.02409552082752,7943
"{HEC_TIPAGRE=2122,HEC_AREA=1} => {HEC_RECUR_DENUN=2}",0.223797426862247,0.759666203059805,0.923327358161235,8193
"{HEC_TIPAGRE=2122,HEC_RECUR_DENUN=2} => {HEC_AREA=1}",0.223797426862247,0.539084090011844,1.00891209300361,8193
"{HEC_AREA=1,HEC_RECUR_DENUN=2} => {HEC_TIPAGRE=2122}",0.223797426862247,0.530394251310934,1.01981108961355,8193
"{HEC_TIPAGRE=2122,HEC_AREA=1,INST_DONDE_DENUNCIO=NA} => {QUIEN_REPORTA=1}",0.216968505012429,0.969486146710607,1.0167273503188,7943
"{HEC_TIPAGRE=2122,QUIEN_REPORTA=1,HEC_AREA=1} => {INST_DONDE_DENUNCIO=NA}",0.216968505012429,0.764411509960543,0.929094985662202,7943
"{HEC_TIPAGRE=2122,QUIEN_REPORTA=1,INST_DONDE_DENUNCIO=NA} => {HEC_AREA=1}",0.216968505012429,0.539972807613868,1.0105753547332,7943
"{QUIEN_REPORTA=1,HEC_AREA=1,INST_DONDE_DENUNCIO=NA} => {HEC_TIPAGRE=2122}",0.216968505012429,0.53262254408905,1.02409552082752,7943
"{HEC_TIPAGRE=2122,HEC_AREA=1,HEC_RECUR_DENUN=2,INST_DONDE_DENUNCIO=NA} => {QUIEN_REPORTA=1}",0.216968505012429,0.969486146710607,1.0167273503188,7943
"{HEC_TIPAGRE=2122,QUIEN_REPORTA=1,HEC_AREA=1,INST_DONDE_DENUNCIO=NA} => {HEC_RECUR_DENUN=2}",0.216968505012429,1,1.21543824701195,7943
"{HEC_TIPAGRE=2122,QUIEN_REPORTA=1,HEC_AREA=1,HEC_RECUR_DENUN=2} => {INST_DONDE_DENUNCIO=NA}",0.216968505012429,1,1.21543824701195,7943
"{HEC_TIPAGRE=2122,QUIEN_REPORTA=1,HEC_RECUR_DENUN=2,INST_DONDE_DENUNCIO=NA} => {HEC_AREA=1}",0.216968505012429,0.539972807613868,1.0105753547332,7943
"{QUIEN_REPORTA=1,HEC_AREA=1,HEC_RECUR_DENUN=2,INST_DONDE_DENUNCIO=NA} => {HEC_TIPAGRE=2122}",0.216968505012429,0.53262254408905,1.02409552082752,7943
"{HEC_TIPAGRE=2122,HEC_AREA=1,INST_DONDE_DENUNCIO=NA} => {HEC_RECUR_DENUN=2}",0.223797426862247,1,1.21543824701195,8193
"{HEC_TIPAGRE=2122,HEC_AREA=1,HEC_RECUR_DENUN=2} => {INST_DONDE_DENUNCIO=NA}",0.223797426862247,1,1.21543824701195,8193
"{HEC_TIPAGRE=2122,HEC_RECUR_DENUN=2,INST_DONDE_DENUNCIO=NA} => {HEC_AREA=1}",0.223797426862247,0.539084090011844,1.00891209300361,8193
"{HEC_AREA=1,HEC_RECUR_DENUN=2,INST_DONDE_DENUNCIO=NA} => {HEC_TIPAGRE=2122}",0.223797426862247,0.530394251310934,1.01981108961355,8193
"{HEC_TIPAGRE=2122,HEC_AREA=1} => {INST_DONDE_DENUNCIO=NA}",0.223797426862247,0.759666203059805,0.923327358161235,8193
"{HEC_TIPAGRE=2122,INST_DONDE_DENUNCIO=NA} => {HEC_AREA=1}",0.223797426862247,0.539084090011844,1.00891209300361,8193
"{HEC_AREA=1,INST_DONDE_DENUNCIO=NA} => {HEC_TIPAGRE=2122}",0.223797426862247,0.530394251310934,1.01981108961355,8193
"{HEC_TIPAGRE=2122} => {HEC_AREA=1}",0.294599688601164,0.566439075630252,1.06010777157343,10785
"{HEC_AREA=1} => {HEC_TIPAGRE=2122}",0.294599688601164,0.551352180358877,1.06010777157343,10785
"{} => {HEC_TIPAGRE=2122}",0.520090688082166,0.520090688082166,1,19040
"{HEC_AREA=2} => {QUIEN_REPORTA=1}",0.375809227239203,0.960217755443886,1.00700732809228,13758
"{HEC_AREA=2,HEC_RECUR_DENUN=2} => {QUIEN_REPORTA=1}",0.337266792318829,0.96167925850923,1.00854004740359,12347
"{QUIEN_REPORTA=1,HEC_AREA=2} => {HEC_RECUR_DENUN=2}",0.337266792318829,0.897441488588458,1.09078470968575,12347
"{HEC_AREA=2} => {HEC_RECUR_DENUN=2}",0.350706110519271,0.89607761027359,1.08912699981759,12839
"{HEC_AREA=2,INST_DONDE_DENUNCIO=NA} => {QUIEN_REPORTA=1}",0.337266792318829,0.96167925850923,1.00854004740359,12347
"{QUIEN_REPORTA=1,HEC_AREA=2} => {INST_DONDE_DENUNCIO=NA}",0.337266792318829,0.897441488588458,1.09078470968575,12347
"{HEC_AREA=2,HEC_RECUR_DENUN=2,INST_DONDE_DENUNCIO=NA} => {QUIEN_REPORTA=1}",0.337266792318829,0.96167925850923,1.00854004740359,12347
"{QUIEN_REPORTA=1,HEC_AREA=2,INST_DONDE_DENUNCIO=NA} => {HEC_RECUR_DENUN=2}",0.337266792318829,1,1.21543824701195,12347
"{QUIEN_REPORTA=1,HEC_AREA=2,HEC_RECUR_DENUN=2} => {INST_DONDE_DENUNCIO=NA}",0.337266792318829,1,1.21543824701195,12347
"{HEC_AREA=2,INST_DONDE_DENUNCIO=NA} => {HEC_RECUR_DENUN=2}",0.350706110519271,1,1.21543824701195,12839
"{HEC_AREA=2,HEC_RECUR_DENUN=2} => {INST_DONDE_DENUNCIO=NA}",0.350706110519271,1,1.21543824701195,12839
"{HEC_AREA=2} => {INST_DONDE_DENUNCIO=NA}",0.350706110519271,0.89607761027359,1.08912699981759,12839
"{HEC_TIPAGRE=1122} => {QUIEN_REPORTA=1}",0.281624737086509,0.957111028592648,1.00374921639018,10310
"{HEC_TIPAGRE=1122,HEC_RECUR_DENUN=2} => {QUIEN_REPORTA=1}",0.24136141385998,0.961479869423286,1.00833094246926,8836
"{HEC_TIPAGRE=1122,QUIEN_REPORTA=1} => {HEC_RECUR_DENUN=2}",0.24136141385998,0.857032007759457,1.04166948114429,8836
"{HEC_TIPAGRE=1122} => {HEC_RECUR_DENUN=2}",0.251031167199323,0.853137764574824,1.03693626903452,9190
"{HEC_TIPAGRE=1122,INST_DONDE_DENUNCIO=NA} => {QUIEN_REPORTA=1}",0.24136141385998,0.961479869423286,1.00833094246926,8836
"{HEC_TIPAGRE=1122,QUIEN_REPORTA=1} => {INST_DONDE_DENUNCIO=NA}",0.24136141385998,0.857032007759457,1.04166948114429,8836
"{HEC_TIPAGRE=1122,HEC_RECUR_DENUN=2,INST_DONDE_DENUNCIO=NA} => {QUIEN_REPORTA=1}",0.24136141385998,0.961479869423286,1.00833094246926,8836
"{HEC_TIPAGRE=1122,QUIEN_REPORTA=1,INST_DONDE_DENUNCIO=NA} => {HEC_RECUR_DENUN=2}",0.24136141385998,1,1.21543824701195,8836
"{HEC_TIPAGRE=1122,QUIEN_REPORTA=1,HEC_RECUR_DENUN=2} => {INST_DONDE_DENUNCIO=NA}",0.24136141385998,1,1.21543824701195,8836
"{HEC_TIPAGRE=1122,INST_DONDE_DENUNCIO=NA} => {HEC_RECUR_DENUN=2}",0.251031167199323,1,1.21543824701195,9190
"{HEC_TIPAGRE=1122,HEC_RECUR_DENUN=2} => {INST_DONDE_DENUNCIO=NA}",0.251031167199323,1,1.21543824701195,9190
"{HEC_TIPAGRE=1122} => {INST_DONDE_DENUNCIO=NA}",0.251031167199323,0.853137764574824,1.03693626903452,9190
