"rules","support","confidence","lift","count"
"{} => {AGRESORES_OTROS_TOTAL=99}",0.56805703515529,0.56805703515529,1,20796
"{OTRAS_VICTIMAS=99} => {AGRESORES_OTROS_TOTAL=99}",0.468464038897539,0.935012539526769,1.64598355739255,17150
"{AGRESORES_OTROS_TOTAL=99} => {OTRAS_VICTIMAS=99}",0.468464038897539,0.824677822658204,1.64598355739255,17150
"{} => {OTRAS_VICTIMAS=99}",0.501024338277473,0.501024338277473,1,18342
"{OTRAS_VICTIMAS=0} => {AGRESORES_OTROS_TOTAL=0}",0.285175776448414,0.908616187989556,2.49669969422125,10439
"{AGRESORES_OTROS_TOTAL=0} => {OTRAS_VICTIMAS=0}",0.285175776448414,0.783607295654132,2.49669969422125,10439
